Food Item,Cost/unit ($),Protein (g/unit),Vitamins (units/unit),Carbohydrates (g/unit)
Pork Loin (Type 3),13.9,36,27,89
Oranges (Type 4),13.02,45,65,66
Cucumber (Type 5),12.85,49,65,51
Tomatoes (Type 1),3.94,49,5,40
Kale (Type 2),6.68,42,33,46
Blueberries (Type 3),3.93,31,51,2
Potatoes (Type 4),14.21,27,59,99
Cashews (Type 5),14.2,9,91,21
Walnuts (Type 1),8.97,44,97,37
Soy Milk (Type 2),10.92,4,3,38
Chickpeas (Type 3),3.86,4,53,82
Honey (Type 4),11.44,17,53,23
Cabbage (Type 5),7.06,26,10,43
Zucchini (Type 1),13.68,32,19,26
Eggplant (Type 2),2.44,6,76,64
Mushrooms (Type 3),14.75,27,53,30
Pasta (Type 4),5.37,28,86,47
Bread (Type 5),10.52,22,54,15
Turkey Breast (Type 1),4.44,17,48,83
Raspberries (Type 2),9.59,50,73,13
Cranberries (Type 3),1.78,26,80,36
Yogurt (Type 4),4.28,11,58,27
Peaches (Type 5),14.21,13,54,87
Plums (Type 1),5.76,40,55,91
Cherries (Type 2),3.52,43,15,2
Lobster (Type 3),10.48,25,31,94
Crab (Type 4),0.75,17,91,13
Scallops (Type 5),9.35,1,56,20
Pineapple (Type 1),7.86,28,19,79
Mango (Type 2),3.5,42,27,15
Pears (Type 3),13.65,4,16,94
Apricots (Type 4),8.73,5,10,73
Grapes (Type 5),8.41,9,80,10
Beets (Type 1),10.39,37,89,96
Radish (Type 2),6.81,19,43,92
Coconut (Type 3),1.3,23,70,8
Basil (Type 4),7.91,50,67,12
Mint (Type 5),3.86,18,40,93
Chicken Breast (Type 1),5.0,33,77,29
Brown Rice (Type 2),14.71,21,5,61
Broccoli (Type 3),8.85,49,21,76
Banana (Type 4),4.07,13,52,38
Almonds (Type 5),4.44,39,95,57
Milk (Type 1),8.86,44,90,57
Salmon (Type 2),2.79,34,62,100
Eggs (Type 3),7.99,37,46,4
Sweet Potato (Type 4),11.51,26,37,57
Quinoa (Type 5),6.16,25,94,38
Spinach (Type 1),12.45,4,79,59
Oats (Type 2),13.67,39,27,64
Apple (Type 3),14.71,5,56,35
Beef Steak (Type 4),5.79,1,97,91
Greek Yogurt (Type 5),8.8,26,13,68
Carrots (Type 1),10.89,29,66,14
Avocado (Type 2),11.0,24,54,58
Peanut Butter (Type 3),3.74,49,4,76
Lentils (Type 4),9.37,43,9,98
Cheese (Type 5),10.29,47,98,83
Tofu (Type 1),7.46,16,4,4
Shrimp (Type 2),3.99,25,78,17
Pork Loin (Type 3),9.65,11,45,80
Oranges (Type 4),2.63,7,19,81
Cucumber (Type 5),4.67,31,90,8
Tomatoes (Type 1),5.65,30,30,40
Kale (Type 2),3.4,1,52,15
Blueberries (Type 3),5.82,30,41,5
Potatoes (Type 4),4.91,40,70,67
Cashews (Type 5),5.17,5,13,51
Walnuts (Type 1),1.19,5,24,3
Soy Milk (Type 2),13.02,48,91,58
Chickpeas (Type 3),11.12,41,62,16
Honey (Type 4),4.39,3,45,44
Cabbage (Type 5),13.24,22,100,37
Zucchini (Type 1),12.93,16,35,36
Eggplant (Type 2),11.83,8,93,90
Mushrooms (Type 3),4.81,9,62,26
Pasta (Type 4),12.61,12,72,92
Bread (Type 5),5.13,39,45,70
Turkey Breast (Type 1),11.92,7,88,19
Raspberries (Type 2),8.55,30,96,63
Cranberries (Type 3),9.94,27,54,65
Yogurt (Type 4),13.17,15,47,48
Peaches (Type 5),7.03,48,43,30
Plums (Type 1),11.39,47,40,46
Cherries (Type 2),7.71,5,19,13
Lobster (Type 3),11.81,7,90,78
Crab (Type 4),12.7,37,32,6
Scallops (Type 5),9.54,34,64,16
Pineapple (Type 1),3.21,7,35,53
Mango (Type 2),10.63,26,97,71
Pears (Type 3),3.47,47,37,77
Apricots (Type 4),10.21,11,66,52
Grapes (Type 5),11.01,20,28,30
Beets (Type 1),4.95,19,34,84
Radish (Type 2),8.06,50,40,74
Coconut (Type 3),10.85,24,6,66
Basil (Type 4),7.83,29,39,96
Mint (Type 5),11.3,20,77,94
Chicken Breast (Type 1),2.27,22,4,50
Brown Rice (Type 2),11.23,38,99,22
Broccoli (Type 3),1.38,43,97,60
Banana (Type 4),11.61,34,29,80
Almonds (Type 5),3.85,14,24,8
Milk (Type 1),8.22,2,96,21
Salmon (Type 2),7.81,9,29,7
Eggs (Type 3),6.56,43,41,69
Sweet Potato (Type 4),0.55,22,61,32
Quinoa (Type 5),7.7,5,8,45
